context_type,category,screens,rows,mean_screen_spearman,spearman_ci_low,spearman_ci_high,mean_hit_recall_10pct,mean_normalized_regret_10pct
Delivery target,Dendritic cell,1,12,0.7902097902097903,,,0.0,0.113518392087126
Delivery target,Generic cell,15,8239,0.20933081185377433,0.1322906698824697,0.30281583899795733,0.1964478542204669,0.19079027401091278
Delivery target,Liver,7,810,0.16241213600525875,-0.018325793033786446,0.33854796828759504,0.1935286935286935,0.18132814147488455
Delivery target,Lung,1,22,0.0389610389610389,,,0.3333333333333333,0.3822332139697173
Delivery target,Lung epithelium,5,1812,0.1829000757236855,-0.16348922607866873,0.4989180016243543,0.14643416927899686,0.20030754899999476
Delivery target,Macrophage,2,1136,0.17146830656497775,0.1146225848159272,0.2283140283140283,0.21136363636363636,0.1226461704324698
Delivery target,Muscle,5,404,0.3120063125450045,0.04249961854611628,0.5456197805840486,0.12756410256410253,0.3079254125905569
Delivery target,Spleen,2,257,0.2283806314712157,-0.0199721052400053,0.4767333681824367,0.13125,0.15702212290765385
Administration route,In vitro,22,11164,0.24347219483918361,0.1453097897140879,0.34791363197589986,0.1750734514740573,0.1774199287383657
Administration route,Intramuscular,5,404,0.3120063125450045,0.026395589685860976,0.5426583613897248,0.12756410256410253,0.3079254125905569
Administration route,Intratracheal,1,35,-0.1687793266972514,,,0.25,0.318964155871686
Administration route,Intravenous,10,1089,0.16326072539402814,0.0175031398812792,0.31256949753116753,0.1950534188034188,0.1965574450109217
Cargo,mRNA,31,9287,0.2278537275160165,0.1306724656856957,0.3292555553659707,0.1782021834012308,0.20924461863378307
Cargo,pDNA,1,112,0.0759079534348043,,,0.0833333333333333,0.4375940094376124
Cargo,siRNA,6,3293,0.20681237833312957,0.14840796355503347,0.26013498901220244,0.18039493575207863,0.13387115234880734
