case_code,screen,candidate_role,candidate,helper_lipid,ionizable_mol_pct,helper_mol_pct,sterol_mol_pct,peg_lipid_mol_pct,observed_target,predicted_point,rank_score,predicted_std,model_rank,model_rank_percentile,selected_at_10pct
C1,A549 formulation screen,Highest model rank,Form 12,Dotap,63.19755499844999,12.85921617881668,23.01677834930457,0.9264504734287684,1.3284205198287964,-0.1195287480950355,1.4274786710739136,1.0855445861816406,1,0.006369426751592357,True
C1,A549 formulation screen,Best measured in selected top decile,Form 22,Dope,42.25059350959851,9.482373317539864,47.33333078225235,0.9337023906092546,2.2357425689697266,-0.1334771066904068,1.412800908088684,1.076439380645752,11,0.07006369426751592,True
C1,A549 formulation screen,Best measured in complete screen,Form 22,Dope,42.25059350959851,9.482373317539864,47.33333078225235,0.9337023906092546,2.2357425689697266,-0.1334771066904068,1.412800908088684,1.076439380645752,11,0.07006369426751592,True
C2,LM three-component-reaction screen,Highest model rank,LM_3CR_A12Iso82DC18,Dope,35.0,16.0,46.5,2.5,0.0464122295379638,-0.0017377221956849,1.9361813068389893,0.9594484567642212,1,0.000925925925925926,True
C2,LM three-component-reaction screen,Best measured in selected top decile,LM_3CR_A12Iso52DC18,Dope,35.0,16.0,46.5,2.5,4.4720892906188965,-0.0038492672611027,1.6815963983535769,0.9561365246772766,3,0.002777777777777778,True
C2,LM three-component-reaction screen,Best measured in complete screen,LM_3CR_A12Iso52DC18,Dope,35.0,16.0,46.5,2.5,4.4720892906188965,-0.0038492672611027,1.6815963983535769,0.9561365246772766,3,0.002777777777777778,True
C3,4CR ketone screen,Highest model rank,FO-23,Dotap,33.8,28.5,35.2,2.5,-0.9740893244743348,0.0356610082089901,2.800959825515747,1.2155312299728394,1,0.03571428571428571,True
C3,4CR ketone screen,Best measured in selected top decile,FO-10,Dotap,38.8,26.4,32.5,2.4,-0.0218896493315696,0.0113476887345314,2.7547731399536133,1.190577268600464,2,0.07142857142857142,True
C3,4CR ketone screen,Best measured in complete screen,FO-8-propyl,Dotap,38.0,26.7,32.9,2.4,2.517309665679932,-0.0048819459043443,1.7214241027832031,1.175866961479187,6,0.21428571428571427,False
