budget_percent,metric,mean,ci_low,ci_high,screens
5,Top-set recall,0.09146400650484135,0.05143979142958271,0.13526163143166317,38
5,Normalized regret,0.278365599767029,0.1935862669707554,0.3717744430732037,38
10,Top-set recall,0.1760518587706305,0.13367893187380264,0.21989161603332785,38
10,Normalized regret,0.20335273950467717,0.12519815537248682,0.2918358210631971,38
20,Top-set recall,0.30479328189199323,0.25512120791930026,0.3548827153942053,38
20,Normalized regret,0.09990673700967656,0.045651500100275536,0.16884871046053168,38
