group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,model_display,size_stratum
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0092659538773594,0.1332985100916418,0.1332985100916418,0.5184608099452984,0.0,4.376217955897417,0.75,0.0816326530612244,0.0,0.0,0.2040816326530612,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.8968906185811153,0.5091383209778865,0.5091383209778865,0.97808975462858,0.4,0.0,0.0,0.4,0.0,0.0,0.75,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.0251435321711122,-0.4535948283717559,-0.4535948283717559,0.6691965795428748,0.0,3.173998942352775,0.7692307692307692,0.0,3.173998942352775,0.7692307692307692,0.0,1.904399365411665,0.4615384615384615,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Small (<100)
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.8676085009601143,0.9090909090909092,0.9090909090909092,0.9625914551282488,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Small (<100)
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,1.1321259423313867,-0.1741524470705802,-0.1741524470705802,0.5603510525760487,0.0,2.4277326460937885,0.7499999999999999,0.0,2.4277326460937885,0.7499999999999999,0.0666666666666666,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Small (<100)
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,1.012177371390187,0.4789334476154991,0.4789334476154991,0.7930548846309254,0.0769230769230769,1.252398653787042,0.2862057549637387,0.0384615384615384,1.252398653787042,0.2862057549637387,0.1923076923076923,0.1120031309105833,0.0255956364561988,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,1.145912855739047,0.2408725079713043,0.2408725079713043,0.6923082106777698,0.0,0.7481761627844996,0.2,0.25,0.0,0.0,0.2083333333333333,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Medium (100-499)
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,0.9559690588834332,0.1969479268482476,0.1969479268482476,0.8460522787855941,0.2432432432432432,0.0,0.0,0.3809523809523809,0.0,0.0,0.3843537414965986,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,Ionizable Morgan Extra Trees,Large (>=500)
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0194918856542412,0.1439026624782073,0.1332985100916418,0.5184608034676195,0.0,4.376218318939209,0.7500000204301895,0.0816326530612244,0.0,0.0,0.2040816326530612,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Medium (100-499)
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.916062388028712,0.4422101297641017,0.5091383209778865,0.9780897535146176,0.4,0.0,0.0,0.4,0.0,0.0,0.75,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Medium (100-499)
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.1720390609451932,0.1892737544178981,-0.4535948283717559,0.6691965879872455,0.0,3.173999071121216,0.7692307514518001,0.0,3.173999071121216,0.7692307514518001,0.0,1.9043995141983032,0.461538468205575,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Small (<100)
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.9994546432502216,0.2727272727272727,0.9090909090909092,0.9625914594422482,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Small (<100)
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,0.9912679846711168,0.1779902317886335,-0.1741524470705802,0.560351050686401,0.0,2.4277327563613653,0.7500000063297011,0.0,2.4277327563613653,0.7500000063297011,0.0666666666666666,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Small (<100)
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,0.9946390510509088,0.7121963099325983,0.4789334476154991,0.7930549022400574,0.0769230769230769,1.2523987293243408,0.2862057547181505,0.0384615384615384,1.2523987293243408,0.2862057547181505,0.1923076923076923,0.1120030879974365,0.0255956250836853,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Medium (100-499)
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,1.034259959550581,0.1619254023336109,0.2408725079713043,0.6923082170709127,0.0,0.748176097869873,0.1999999840666815,0.25,0.0,0.0,0.2083333333333333,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Medium (100-499)
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0024361617735815,0.1617076724565953,0.1969479268482476,0.8460522767223151,0.2432432432432432,0.0,0.0,0.3809523809523809,0.0,0.0,0.3843537414965986,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,Validation-selected hybrid,Large (>=500)
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,1.0020981294776408,0.2402952117051933,0.3313628984793803,0.9467154304133704,0.1551724137931034,0.1079382896423339,0.0207971889805575,0.1810344827586207,0.1079382896423339,0.0207971889805575,0.3060344827586206,0.0809535980224609,0.0155978687665705,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Large (>=500)
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.0073067836732854,0.0655952111679094,0.3560619399669111,0.903548224716444,0.0,1.1892624497413635,0.3049754847406584,0.125,0.3764623403549194,0.0965403261166726,0.1333333333333333,0.3455293178558349,0.0886078352411694,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Small (<100)
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0165934189875008,-0.1841780079054631,0.0536270181280148,0.8674477987648916,0.0,1.9731464385986328,0.3387130446768958,0.125,0.1388471126556396,0.0238346872549352,0.3020833333333333,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Medium (100-499)
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0142238255296885,-0.0434443841132188,0.0503695323376656,0.905723896800584,0.1071428571428571,0.9930374622344972,0.1371236823976473,0.1428571428571428,0.9930374622344972,0.1371236823976473,0.2232142857142857,0.9930374622344972,0.1371236823976473,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Large (>=500)
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,0.98170361675343,0.5457884132438577,0.6631092054655363,0.5259873180438751,0.125,5.6396156549453735,0.738562088977861,0.3333333333333333,4.017602205276489,0.5261437762711875,0.5172413793103449,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Medium (100-499)
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,1.0132262855581229,-0.092562092160375,0.4767333681824367,0.9007178186919436,0.2,1.141494870185852,0.223135147635398,0.2,1.141494870185852,0.223135147635398,0.35,1.141494870185852,0.223135147635398,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Small (<100)
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.0110010714201303,0.1726603434576062,0.1597339006319031,0.8029199651319655,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,DeepLNP,Small (<100)
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.8905739528560815,0.4884356548863279,0.4884356548863279,0.9687986950300048,0.3103448275862069,0.0,0.0,0.3189655172413793,0.0,0.0,0.4698275862068966,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Large (>=500)
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.0049572310346375,-0.1817615953002013,-0.1817615953002013,0.8814694227639213,0.25,0.2342138268247784,0.0600619979689148,0.25,0.2342138268247784,0.0600619979689148,0.1333333333333333,0.2342138268247784,0.0600619979689148,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Small (<100)
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0000562314977908,,,0.8634197777464072,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.3020833333333333,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Medium (100-499)
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0000562314977908,,,0.8980610599961973,0.1071428571428571,2.797625277789161,0.3863103620103548,0.2678571428571428,2.797625277789161,0.3863103620103548,0.1339285714285714,2.797625277789161,0.3863103620103548,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,Metadata Extra Trees,Large (>=500)
