source,model,seed,fold_index,split,n,groups,rmse,point_spearman,within_group_spearman,within_group_ndcg,pair_accuracy,within_group_spearman_ci_low,within_group_spearman_ci_high,within_group_ndcg_ci_low,within_group_ndcg_ci_high,within_group_hit_recall_5pct,within_group_hit_recall_5pct_ci_low,within_group_hit_recall_5pct_ci_high,within_group_normalized_regret_5pct,within_group_normalized_regret_5pct_ci_low,within_group_normalized_regret_5pct_ci_high,within_group_regret_5pct,within_group_hit_recall_10pct,within_group_hit_recall_10pct_ci_low,within_group_hit_recall_10pct_ci_high,within_group_normalized_regret_10pct,within_group_normalized_regret_10pct_ci_low,within_group_normalized_regret_10pct_ci_high,within_group_regret_10pct,within_group_hit_recall_20pct,within_group_hit_recall_20pct_ci_low,within_group_hit_recall_20pct_ci_high,within_group_normalized_regret_20pct,within_group_normalized_regret_20pct_ci_low,within_group_normalized_regret_20pct_ci_high,within_group_regret_20pct
ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val,2532,7,0.9993637850370004,0.09483042740912549,0.19462062006656575,0.8374661559582092,0.5665925720639966,0.007500018721376415,0.40724941466889525,0.7508605830116794,0.9068841622833264,0.09472202674173118,0.025510204081632654,0.17329345531315976,0.23154068937378458,0.11274324825894436,0.35063194561521976,1.462885856628418,0.21379310344827585,0.12517036124794745,0.30238095238095236,0.17518350309711353,0.07234806653576051,0.31111894143764035,1.1166311928204127,0.2863505747126437,0.17916666666666667,0.41342364532019704,0.06711441018846138,0.01708797280900758,0.1295817394606508,0.38339037554604666
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val,2532,7,0.9213703122762505,0.3436475963416451,0.3146889644832555,0.8218367820263043,0.5129374236007217,-0.09759195670386205,0.554916368479859,0.6915078125942112,0.9202938515324164,0.2474900304949566,0.06755805770584096,0.5178981937602628,0.23577206724641098,0.06293781385015187,0.4617353445386399,1.5760326077685793,0.3351864883884588,0.17497874149659862,0.574642270701384,0.18549251640772116,0.01265826301146204,0.4207866340544236,1.3473679962665508,0.31064537884119164,0.19933853067088905,0.4347291006920008,0.18141453882038977,0.008580285424130685,0.4167086564670924,1.331465782408649
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val,2532,7,0.9943992774913141,0.25829349061744084,0.27593822829772746,0.8443959857229378,0.6124706621021632,0.12630145725268688,0.422768902873125,0.7207799104981065,0.9199545145916439,0.03876378137461881,0.01020408163265306,0.07142857142857142,0.20358967651339488,0.091047906871008,0.33501441198457843,1.2896092007745408,0.23499882711705372,0.13023692235514894,0.3295566502463054,0.15031520893763226,0.036298715183837406,0.29791855991909316,1.010883979604239,0.30571340605207603,0.19638605442176874,0.4090268370279146,0.1274445794648808,0.016151532108709156,0.27702861873552226,0.8995329125995923
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val,2532,7,0.9213272741618286,0.35156729472918297,0.27593822829772746,0.844395987104536,0.6124706621021632,0.12630145725268688,0.422768902873125,0.7207799077087471,0.9199545176925195,0.03876378137461881,0.01020408163265306,0.07142857142857142,0.20358966683992824,0.09104789202012753,0.33501440621421746,1.2896092193467277,0.23499882711705372,0.13023692235514894,0.3295566502463054,0.1503152023073872,0.0362987114813895,0.2979185612580797,1.0108840039798193,0.30571340605207603,0.19638605442176874,0.4090268370279146,0.12744457299889683,0.016151524430557094,0.27702862080744634,0.8995329311915806
ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,2548,8,1.0044977631953613,0.27042690819152587,0.27107359450400387,0.7670825454054464,0.6252744710011375,0.04894335504624201,0.496591500571893,0.6655443584309202,0.8658360207823108,0.09048856548856549,0.025,0.17884615384615385,0.3505623303610492,0.13157904991245167,0.5903371926586465,1.4961908739060163,0.11050987702773417,0.033227040816326534,0.20294299450549447,0.2880623303610492,0.07657895254093391,0.5111612494374005,1.2938798125833273,0.3536711800104657,0.2370443730376766,0.4810457548403974,0.0,0.0,0.0,0.0
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test,2548,8,1.0111297145445486,-0.0760849391447231,0.2011141357655351,0.737138468742291,0.45091722262045575,0.06753066339935543,0.33276069786638074,0.6548208346469642,0.825263564973978,0.15385914760914762,0.05337837837837838,0.27308991683991685,0.3516997680055795,0.12348143680093543,0.6231835198411646,1.2732547565279795,0.1068861198325484,0.04075091575091575,0.1706174777603349,0.30010536165281443,0.05769230769230769,0.5578599536428839,1.0672205047083057,0.22183084772370487,0.11770669806384093,0.32635727367870226,0.2670721233927074,0.054681587293210265,0.521770351799897,0.9359899329535428
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,2548,8,0.9852285082458654,0.1632377218395281,0.23006679339414407,0.7525131282394175,0.612874935073551,-0.03986982941976676,0.4992606063179933,0.6449409102225538,0.8678119219149698,0.21502079002079,0.028846153846153848,0.4556457900207887,0.3444295655243135,0.11875000000000001,0.5899038461538462,1.4973155451144402,0.20638082155939297,0.08121933869701728,0.3375011446886447,0.22567956552431345,0.035775719370467335,0.4735576923076923,0.8567662802792007,0.3090512166405024,0.1500955406200942,0.4907684948979591,0.06089176224933254,0.0,0.17627637763394793,0.25205031204028105
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,2548,8,1.0048878639127745,-0.012889005689679779,0.23006679339414407,0.7525131313914271,0.612874935073551,-0.03986982941976676,0.4992606063179933,0.6449409137187412,0.8678119243766106,0.21502079002079,0.028846153846153848,0.4556457900207887,0.34442956462456537,0.11875000056210888,0.5899038511835566,1.4973156217020005,0.20638082155939297,0.08121933869701728,0.3375011446886447,0.22567956406245648,0.035775719339768815,0.4735576902365879,0.8567663196008652,0.3090512166405024,0.1500955406200942,0.4907684948979591,0.06089176166115754,0.0,0.17627637871255128,0.25205032527446747
ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,val,2537,7,0.9972793666097429,0.20265637352785523,0.23795216072729491,0.8495674362699323,0.5885521527861838,0.13398346806013578,0.3662659119268225,0.7588557786400766,0.9113356135543081,0.1464845499328258,0.04254366323331841,0.26077026421854005,0.18842619914144226,0.05455000751057221,0.3541978619755115,0.7920648115021842,0.3007696368266083,0.15585505677896982,0.46128783822374514,0.18827822892958304,0.060824981716151735,0.3475759261279211,0.7913844670568194,0.36781396353007606,0.22410890739695088,0.5001287283688177,0.12745324721343132,0.010483045994409631,0.26553029681393076,0.5742345878056118
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,val,2537,7,0.9866461830711135,0.08154812420856883,0.015022852796566089,0.7695257289102807,0.11912519978952621,-0.31158422780359957,0.34487859732469617,0.6601714811814006,0.8589339577136492,0.034258844603672185,0.0,0.07321988356471114,0.31341986211931977,0.13859392692983818,0.5218329287209628,1.353628554313923,0.06491049738690624,0.009852216748768473,0.1270651343541369,0.2640826014418529,0.07047688455087034,0.5059189197452776,1.1496534011526154,0.1997661119783882,0.10927912667043102,0.29614771896901054,0.1620068016162824,0.01421580051270099,0.34389804874848745,0.7193755578134962
