group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0552349455837253,0.3117039973702236,0.3117039973702236,0.8820573054407115,0.041666666666666664,0.7707874557869983,0.13231443335530382,0.3333333333333333,0.4152175673795435,0.07127681792757934,0.5104166666666666,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0018739530208647,-0.03570106146819153,-0.03570106146819153,0.8934998915792421,0.03571428571428571,1.8315339123439456,0.2529075406664072,0.07142857142857142,1.8315339123439456,0.2529075406664072,0.11607142857142858,1.8315339123439456,0.2529075406664072,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,0.993609144090299,0.399548638655179,0.399548638655179,0.4924060691816284,0.125,4.017602543211157,0.5261437908267944,0.4,4.017602543211157,0.5261437908267944,0.4482758620689655,4.017602543211157,0.5261437908267944,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.8874826922362934,0.5764273104758112,0.5764273104758112,0.9105545424316256,0.0,1.5955066597846574,0.3118836576026141,0.3,0.0,0.0,0.4,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,0.9996008043357297,0.2742252513738452,0.2742252513738452,0.870748025382994,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,val
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.8262504438279078,0.559383207736228,0.38393435128034653,0.9647082070727938,0.06896551724137931,0.09894347190856934,0.019064095803605713,0.20689655172413793,0.09894347190856934,0.019064095803605713,0.33189655172413796,0.026984453201293945,0.0051992737986064986,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.003496792586462,-0.2162361562426789,0.02142911039687838,0.8967978661198037,0.0,0.712890088558197,0.18281415260231626,0.0,0.712890088558197,0.18281415260231626,0.13333333333333333,0.4206092357635498,0.10786139721529316,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0024184570475934,-0.1471421062068605,0.3117039973702236,0.8820573070501375,0.041666666666666664,0.7707874774932861,0.13231443283842864,0.3333333333333333,0.41521763801574707,0.07127682776741022,0.5104166666666666,0.0,0.0,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,0.9992679953440954,-0.03331779308634924,-0.03570106146819153,0.8934998885317321,0.03571428571428571,1.8315339088439941,0.25290753574915137,0.07142857142857142,1.8315339088439941,0.25290753574915137,0.11607142857142858,1.8315339088439941,0.25290753574915137,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,0.9871202052256607,0.48105222564365524,0.399548638655179,0.49240606056057573,0.125,4.017602920532227,0.5261438042292267,0.4,4.017602920532227,0.5261438042292267,0.4482758620689655,4.017602920532227,0.5261438042292267,method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,val
