model,rmse_mean,rmse_sd,screen_spearman_mean,screen_spearman_sd
DeepLNP,1.0029034792372644,0.0032587710970981955,0.2217385665347999,0.06670193505478669
Metadata ET,0.9877468104591323,0.024230744476059243,0.1970018538119095,0.07762647846268801
Morgan ET,1.0020695533027826,0.03600306740704857,0.24508552698930552,0.048807261264200805
Hybrid,0.9883851117929339,0.020710554531982225,0.24832828737962936,0.05391060938399468
