model,rmse_mean,rmse_std,screen_spearman_mean,screen_spearman_std,hit10_mean,hit10_std,nreg10_mean,nreg10_std,interpretation
DeepLNP,1.0029034792372644,0.0032587710970981955,0.2217385665347999,0.06670193505478669,0.1777664361275944,0.04471407719973743,0.2007573569183573,0.057173900081778646,Dual-path neural model
Metadata Extra Trees,0.9877468104591323,0.024230744476059243,0.1970018538119095,0.07762647846268801,0.16210039817507438,0.09482547535926626,0.25433230096940784,0.09669516799168781,Lowest standalone point error
Ionizable Morgan Extra Trees,1.0020695533027826,0.03600306740704857,0.24508552698930552,0.048807261264200805,0.24126383211711083,0.05150470933064255,0.18888763734207883,0.03843035426267748,Fingerprint screening baseline
Validation-selected hybrid,0.9883851117929339,0.020710554531982225,0.24832828737962936,0.05391060938399468,0.24490328789942378,0.04693015529406801,0.18392531308903037,0.03791994828640882,Lowest joint point-ranking profile
