model,screens,mean_screen_spearman,ci_low,ci_high
DeepLNP,38,0.22053283622184452,0.13981551735829634,0.3032778413074817
Metadata Extra Trees,18,0.18543001045818785,0.0517551187858331,0.31393909978679124
Ionizable Morgan Extra Trees,38,0.24276785988355556,0.14218735336230331,0.35140777051156596
Validation-selected hybrid,38,0.24575461287464329,0.1424281262159262,0.3449809259769893
