screen_code,group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,delivery_target,model_type,route_of_administration,cargo_type,experiment_id,library_id,prediction_rows,delivery_target_display,model_type_display,route_of_administration_display,cargo_type_display
S13,screen:Li_Thiolyne_Li_Thiolyne_generic_cell_HEK293T_in_vitro,112,0.9799942476045406,0.4058216002910331,0.0759079534348043,0.5410172630792037,0.0,3.440924197435379,0.7849624073747713,0.0833333333333333,1.9182164669036863,0.4375940094376124,0.1304347826086956,1.146974802017212,0.2616541516551501,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,generic_cell,HEK293T,in_vitro,pDNA,Li_Thiolyne,Li_Thiolyne,112,Generic cell,HEK293T,In vitro,pDNA
S14,screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0165934189875008,-0.1841780079054631,0.0536270181280148,0.8674477987648916,0.0,1.9731464385986328,0.3387130446768958,0.125,0.1388471126556396,0.0238346872549352,0.3020833333333333,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,generic_cell,HeLa,in_vitro,mRNA,IR_BL_AG_3CR_sting,IR_3CR_sting,480,Generic cell,HeLa,In vitro,mRNA
S15,screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0142238255296885,-0.0434443841132188,0.0503695323376656,0.905723896800584,0.1071428571428571,0.9930374622344972,0.1371236823976473,0.1428571428571428,0.9930374622344972,0.1371236823976473,0.2232142857142857,0.9930374622344972,0.1371236823976473,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,generic_cell,HeLa,in_vitro,mRNA,IR_BL_AG_4CR,IR_4CR_aldehyde,560,Generic cell,HeLa,In vitro,mRNA
S16,screen:RM_BL_AG_carbonate_RM_carbonate_generic_cell_nan_in_vitro,709,0.9955737824011232,0.1555894090832151,-0.0024721373812424,0.921238135183562,0.1944444444444444,0.5566061735153198,0.118770076301392,0.2535211267605634,0.2186415195465088,0.0466542974095784,0.323943661971831,0.0,0.0,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,generic_cell,,in_vitro,mRNA,RM_BL_AG_carbonate,RM_carbonate,709,Generic cell,Not reported,In vitro,mRNA
S17,screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_liver_Mouse_intravenous,97,1.002812099461158,0.2131416999789606,0.5779902167052386,0.9581750687434986,0.2,0.1662065982818603,0.0465794812708151,0.5,0.0,0.0,0.5,0.0,0.0,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,liver,Mouse,intravenous,mRNA,Raj_Jacob_ML_branched_ester,RM_Michael_addition_branched,97,Liver,Mouse,Intravenous,mRNA
S18,screen:Chen_disulfide_Chen_disulfide_liver_Mouse_intravenous,31,1.0009798311441669,0.4016970474989416,0.3415131761290649,0.9571576811909892,0.0,0.3636036515235901,0.0936193489598008,0.0,0.3636036515235901,0.0936193489598008,0.2857142857142857,0.3636036515235901,0.0936193489598008,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,liver,Mouse,intravenous,mRNA,Chen_disulfide,Chen_disulfide,31,Liver,Mouse,Intravenous,mRNA
S19,screen:Whitehead_siRNA_whitehead_lipidoid_liver_nan_intravenous,90,0.99679335946875,0.2579176767428386,0.2249752025997677,0.9068571226916854,0.0,0.0269701480865478,0.0094974701413118,0.1111111111111111,0.0269701480865478,0.0094974701413118,0.3888888888888889,0.000482439994812,0.0001698900366063,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,liver,,intravenous,siRNA,Whitehead_siRNA,whitehead_lipidoid,90,Liver,Not reported,Intravenous,siRNA
S20,screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.0110010714201303,0.1726603434576062,0.1597339006319031,0.8029199651319655,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,liver,Mouse,intravenous,siRNA,Zhou_dendrimer,Zhou_dendrimer,24,Liver,Mouse,Intravenous,siRNA
S21,screen:Luke_Raj_133_3_form_RM_Michael_addition_branched_133_form_liver_Mouse_intravenous,23,1.001615822460309,-0.5009881422924901,0.0494071146245059,0.8048550049001635,0.0,0.8766744136810303,0.2069620053139196,0.3333333333333333,0.8766744136810303,0.2069620053139196,0.4,0.8766744136810303,0.2069620053139196,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,liver,Mouse,intravenous,mRNA,Luke_Raj_133_3_form,RM_Michael_addition_branched_133_form,23,Liver,Mouse,Intravenous,mRNA
S22,screen:He_4CR_aldehyde_He_4CR_aldehyde_liver_Mouse_intravenous,161,0.9875481340171312,0.1959681167044333,0.0260255423779654,0.8209229034125667,0.0,0.8328238129615784,0.2332789301074373,0.0,0.652281641960144,0.1827079884088338,0.1212121212121212,0.0524154901504516,0.0146818922238458,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,liver,Mouse,intravenous,mRNA,He_4CR_aldehyde,He_4CR_aldehyde,161,Liver,Mouse,Intravenous,mRNA
S23,screen:Luke_Raj_Branched_ester_RM_Michael_addition_branched_liver_Mouse_intravenous,384,1.0024148697109374,-0.365238321272411,-0.2427602010316345,0.3808492331976881,0.0,4.944577574729919,0.7795166016289148,0.0769230769230769,4.925507426261902,0.7765101775003258,0.0519480519480519,3.463972806930542,0.5460980781034586,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,liver,Mouse,intravenous,mRNA,Luke_Raj_Branched_ester,RM_Michael_addition_branched,384,Liver,Mouse,Intravenous,mRNA
S24,screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_lung_Mouse_intravenous,22,1.003028318406869,-0.1801242236024844,0.0389610389610389,0.8167057173352855,0.0,1.7574501037597656,0.3822332139697173,0.3333333333333333,1.7574501037597656,0.3822332139697173,0.4,1.752687931060791,0.3811974744216563,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,lung,Mouse,intravenous,mRNA,Raj_Jacob_ML_branched_ester,RM_Michael_addition_branched,22,Lung,Mouse,Intravenous,mRNA
S25,screen:A549_form_screen_other_lung_epithelium_A549_in_vitro,157,1.000366081664222,0.1964951887609393,0.7532708369348883,0.94447058521074,0.0,0.9073220491409302,0.1941272839673502,0.1875,0.0,0.0,0.5,0.0,0.0,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,lung_epithelium,A549,in_vitro,mRNA,A549_form_screen,other,157,Lung epithelium,A549,In vitro,mRNA
S26,screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,1.0020981294776408,0.2402952117051933,0.3313628984793803,0.9467154304133704,0.1551724137931034,0.1079382896423339,0.0207971889805575,0.1810344827586207,0.1079382896423339,0.0207971889805575,0.3060344827586206,0.0809535980224609,0.0155978687665705,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,lung_epithelium,A549,in_vitro,mRNA,A549_form_screen,RM_Michael_addition_branched,1156,Lung epithelium,A549,In vitro,mRNA
S27,screen:A549_form_screen_IR_Reductive_amination_lung_epithelium_A549_in_vitro,436,1.0076640710747102,0.2481925214691016,0.3253225372932344,0.9218584842391334,0.0,1.1023632287979126,0.2319587489223302,0.1136363636363636,0.2204728126525879,0.0463917849020132,0.2045454545454545,0.2204728126525879,0.0463917849020132,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,lung_epithelium,A549,in_vitro,mRNA,A549_form_screen,IR_Reductive_amination,436,Lung epithelium,A549,In vitro,mRNA
