feature_block,Delivery,Size,PDI,Zeta,Encapsulation,Toxicity
Ionizable graph resolved,1.0,0.994475138121547,0.9922958397534669,0.9924528301886792,0.9912280701754386,1.0
Helper graph resolved,0.9943271352032776,0.9613259668508287,0.9784283513097073,0.939622641509434,0.980701754385965,1.0
Sterol graph resolved,0.9528049164828238,0.9834254143646409,0.9922958397534669,0.9962264150943396,0.9912280701754386,1.0
PEG-lipid graph resolved,0.0,0.8519337016574585,0.7950693374422187,0.8754716981132076,0.9368421052631579,1.0
Any reported composition/process field,1.0,1.0,1.0,1.0,1.0,1.0
Biological target,1.0,0.850828729281768,0.9352850539291218,0.9056603773584906,0.8368421052631579,1.0
Experimental group,1.0,1.0,1.0,1.0,1.0,1.0
